external_id,name,description,category,difficulty,muscle_groups,source_section,source
routine-piernas-sentadillas-con-barra-30kg,sentadillas con barra,"Ejercicio compuesto para fortalecer piernas y glúteos utilizando una barra con peso. Ayuda a mejorar la fuerza, estabilidad y resistencia muscular.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=sentadillas%20con%20barra%20ejercicio%20gym
routine-espalda-dominadas,dominadas,Ejercicio de peso corporal enfocado en desarrollar la espalda y los brazos. Mejora la fuerza del tren superior y el control corporal.,strength,beginner,espalda,Espalda,https://www.google.com/search?tbm=isch&q=dominadas%20ejercicio%20gym
routine-pecho-press-plano-25kg-barra,press plano,"Movimiento clásico de pecho realizado en banco plano con barra o peso libre. Trabaja principalmente pecho, hombros y tríceps.",strength,beginner,pecho,Pecho,https://www.google.com/search?tbm=isch&q=press%20plano%20ejercicio%20gym
routine-biceps-curl-con-barra-recta-15kg,curl con barra recta ,Ejercicio de aislamiento para bíceps realizado con barra recta. Ideal para desarrollar fuerza y volumen en los brazos.,strength,beginner,biceps,Biceps,https://www.google.com/search?tbm=isch&q=curl%20con%20barra%20recta%20%20ejercicio%20gym
routine-abdominales-y-cintura-plancha,plancha,"Ejercicio isométrico que fortalece el core, abdominales y zona lumbar, mejorando la estabilidad corporal.",core,beginner,abdominales|cintura,Abdominales y cintura,https://www.google.com/search?tbm=isch&q=plancha%20ejercicio%20gym
routine-antebrazo-curl-pronado,curl pronado,Ejercicio de aislamiento para trabajar antebrazo. Ideal para desarrollar fuerza y definición muscular.,strength,beginner,antebrazo,Antebrazo,https://www.google.com/search?tbm=isch&q=curl%20pronado%20ejercicio%20gym
routine-piernas-sentadillas-con-disco,sentadillas con disco,"Ejercicio fundamental para desarrollar piernas, mejorando fuerza, equilibrio y potencia.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=sentadillas%20con%20disco%20ejercicio%20gym
routine-espalda-remo-trx,remo trx,"Ejercicio de tracción para fortalecer espalda, mejorando postura y resistencia muscular.",strength,beginner,espalda,Espalda,https://www.google.com/search?tbm=isch&q=remo%20trx%20ejercicio%20gym
routine-pecho-aperturas-en-plano-24kg,aperturas en plano,"Ejercicio compuesto enfocado en trabajar pecho. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,pecho,Pecho,https://www.google.com/search?tbm=isch&q=aperturas%20en%20plano%20ejercicio%20gym
routine-biceps-concentrado,concentrado,"Ejercicio compuesto enfocado en trabajar biceps. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,biceps,Biceps,https://www.google.com/search?tbm=isch&q=concentrado%20ejercicio%20gym
routine-abdominales-y-cintura-cruzados,cruzados,"Ejercicio funcional enfocado en trabajar abdominales, cintura. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",core,beginner,abdominales|cintura,Abdominales y cintura,https://www.google.com/search?tbm=isch&q=cruzados%20ejercicio%20gym
